id,name,project_type,state,district,latitude,longitude,land_area_ha,affected_families,start_date,target_end_date,current_stage,status,data_source,delay_probability,risk_category,days_in_current_stage,stage_overdue_days,pct_stages_completed,compensation_paid_pct,avg_compensation_pending_days,num_disputed_claims,legal_dispute_flag,num_active_legal_cases,has_court_stay,doc_complete_pct,approval_pending_days,num_approvals_pending,sia_approved,env_clearance_obtained,rehab_progress_pct,stakeholder_response_days,notification_delay_days,possession_completion_pct,district_historical_delay_rate
83,"City Infra 83 (Yadadri Bhuvanagiri, Telangana)",Urban Infrastructure,Telangana,Yadadri Bhuvanagiri,15.88154,81.417583,378.11,2710,2022-05-03,2026-01-04,Compensation Disbursement,Planning,SYNTHETIC_DEMO,0.5702,medium,361,104,0.7122,0.5,149,0,False,0,False,0.8337,1,4,True,True,0.6928,12,42,0,0.1591
84,"SC Mission 84 (Tiruppur, Tamil Nadu)",Smart City,Tamil Nadu,Tiruppur,11.512912,80.23286,375.13,4972,2023-08-03,2026-08-24,Completed,On Hold,SYNTHETIC_DEMO,0.1071,low,659,384,0.9442,0.9321,106,0,False,0,False,0.8212,116,7,True,False,0.802,32,48,0.2475,0.4774
85,"PMGSY 85 (Nashik, Maharashtra)",Rural Road,Maharashtra,Nashik,19.167097,72.994064,62.54,1692,2021-08-06,2025-08-31,Completed,On Hold,SYNTHETIC_DEMO,0.01,low,547,184,0.9404,0.8097,149,0,False,0,False,0.6933,115,8,True,True,0.0556,21,32,0.4154,0.382
86,"Expressway 86 (Krishna, Andhra Pradesh)",Expressway,Andhra Pradesh,Krishna,12.521108,78.24321,493.14,3877,2020-11-16,2022-04-14,SIA Initiated,Completed,SYNTHETIC_DEMO,0.1263,low,0,0,0,0,8,19,True,4,False,0.508,17,10,False,False,0.6459,58,23,0,0.5964
87,"Smart City 87 (Yadadri Bhuvanagiri, Telangana)",Smart City,Telangana,Yadadri Bhuvanagiri,18.14717,79.426851,365.29,1834,2023-12-27,2028-08-25,Possession Handover,Planning,SYNTHETIC_DEMO,0.5048,medium,386,206,0.6737,0.6723,5,0,False,0,False,0.9871,59,10,True,False,0.4241,53,52,0.2297,0.3303
88,"Metro 88 (Surat, Gujarat)",Metro Rail,Gujarat,Surat,21.886583,72.979348,126.14,372,2022-01-13,2023-02-14,SIA Approved,Planning,SYNTHETIC_DEMO,0.3428,low,276,0,0.0662,0.0484,112,15,True,5,False,0.5304,110,0,True,True,0.9935,34,52,0,0.5582
89,"Port Connectivity 89 (Dausa, Rajasthan)",Port Connectivity,Rajasthan,Dausa,24.002823,75.441912,314.87,3509,2020-05-12,2022-08-07,Compensation Disbursement,In Progress,SYNTHETIC_DEMO,0.5405,medium,453,131,0.5851,0.4203,126,0,False,0,False,0.4281,44,10,True,True,0.7858,45,44,0,0.3082
90,"SC Mission 90 (Surat, Gujarat)",Smart City,Gujarat,Surat,23.822034,69.954787,280.86,1108,2020-03-09,2025-02-25,Notification u/s 11,Cancelled,SYNTHETIC_DEMO,0.3421,low,177,0,0.3112,0.3032,62,0,False,0,False,0.553,42,10,True,True,0.4498,52,5,0,0.3678
91,"E-way 91 (Meerut, Uttar Pradesh)",Expressway,Uttar Pradesh,Meerut,29.678533,78.411225,155.08,135,2020-06-09,2024-09-24,Possession Handover,Cancelled,SYNTHETIC_DEMO,0.4809,medium,717,483,0.7618,0.6428,48,0,False,0,False,0.9772,15,7,True,False,0.6956,31,25,0.9151,0.376
92,"PMGSY 92 (Salem, Tamil Nadu)",Rural Road,Tamil Nadu,Salem,9.978045,79.972654,457.59,3046,2022-07-05,2026-02-13,Completed,On Hold,SYNTHETIC_DEMO,0.01,low,130,0,1,0.9167,105,0,False,0,False,0.4274,110,3,True,False,0.0162,75,59,0.584,0.46
93,"Metro Rail 93 (Tiruppur, Tamil Nadu)",Metro Rail,Tamil Nadu,Tiruppur,12.583495,78.246857,233.11,2895,2023-03-02,2027-11-01,Compensation Disbursement,In Progress,SYNTHETIC_DEMO,0.564,medium,375,152,0.5765,0.5456,35,0,False,0,False,0.8322,62,2,True,False,0.5421,87,3,0,0.362
94,"National Highway 94 (Ahmednagar, Maharashtra)",National Highway,Maharashtra,Ahmednagar,19.599561,73.043744,331.35,138,2021-09-08,2023-07-14,SIA Initiated,Completed,SYNTHETIC_DEMO,0.0912,low,0,0,0,0,1,0,False,0,False,0.7193,52,0,False,True,0.7222,73,18,0,0.1086
95,"State Highway 95 (Medchal-Malkajgiri, Telangana)",State Highway,Telangana,Medchal-Malkajgiri,16.267728,79.369052,284.68,1860,2020-04-02,2023-03-28,SIA Approved,Cancelled,SYNTHETIC_DEMO,0.1447,low,303,47,0.184,0.1332,175,0,False,0,False,0.8968,10,10,True,False,0.6499,9,5,0,0.3026
96,"Rural Road 96 (Medak, Telangana)",Rural Road,Telangana,Medak,15.830744,80.803984,118.73,4653,2021-07-11,2026-02-20,SIA Initiated,Planning,SYNTHETIC_DEMO,0.2609,low,369,68,0.0132,0.0126,69,3,True,1,False,0.8107,35,8,False,True,0.0329,45,1,0,0.5807
97,"Smart City 97 (Bhavnagar, Gujarat)",Smart City,Gujarat,Bhavnagar,21.082125,73.425229,396.3,652,2023-12-25,2027-02-28,SIA Approved,On Hold,SYNTHETIC_DEMO,0.1487,low,723,415,0.2043,0.1633,88,0,False,0,False,0.4322,55,3,True,False,0.3406,83,38,0,0.2984
98,"Expressway 98 (Jaipur, Rajasthan)",Expressway,Rajasthan,Jaipur,26.871264,72.878843,357.99,682,2022-02-11,2024-02-26,Rehabilitation,Completed,SYNTHETIC_DEMO,0.2184,low,0,0,0.9109,0.8182,68,10,True,4,False,0.827,81,2,True,False,0.3167,18,5,0.0052,0.2541
99,"State Highway 99 (Ajmer, Rajasthan)",State Highway,Rajasthan,Ajmer,26.141906,74.49266,432.54,111,2023-11-18,2027-03-02,Notification u/s 11,Planning,SYNTHETIC_DEMO,0.2562,low,135,0,0.1553,0.1252,105,25,True,1,False,0.8349,71,3,True,True,0.1696,53,10,0,0.1694
100,"Rural Road 100 (Erode, Tamil Nadu)",Rural Road,Tamil Nadu,Erode,9.51779,77.348885,231.64,1119,2023-06-10,2024-11-13,Notification u/s 11,Planning,SYNTHETIC_DEMO,0.2502,low,399,142,0.2003,0.1551,1,0,False,0,False,0.9693,42,9,True,True,0.8622,61,21,0,0.3153
101,"Industrial Corridor 101 (Surat, Gujarat)",Industrial Corridor,Gujarat,Surat,24.340586,74.296714,166.31,2306,2020-01-17,2022-09-04,Objection Hearing,Completed,SYNTHETIC_DEMO,0.4443,medium,0,0,0.422,0.3755,100,0,False,0,False,0.619,119,9,True,True,0.9973,28,43,0,0.4838
102,"PMGSY 102 (Chikkaballapura, Karnataka)",Rural Road,Karnataka,Chikkaballapura,14.909486,74.311214,331.04,3476,2022-11-18,2026-03-04,Objection Hearing,Completed,SYNTHETIC_DEMO,0.5893,medium,0,0,0.4096,0.3038,96,0,False,0,False,0.4444,76,7,True,True,0.5344,58,34,0,0.1184
103,"City Infra 103 (Sikar, Rajasthan)",Urban Infrastructure,Rajasthan,Sikar,27.603212,72.695079,483.57,2726,2022-09-22,2027-05-09,SIA Approved,Planning,SYNTHETIC_DEMO,0.3307,low,657,367,0.0339,0.0337,27,0,False,0,False,0.4063,33,3,True,True,0.5188,79,44,0,0.3876
104,"Smart City 104 (Srikakulam, Andhra Pradesh)",Smart City,Andhra Pradesh,Srikakulam,13.555215,84.481622,177.42,2820,2022-02-22,2025-11-06,Rehabilitation,Cancelled,SYNTHETIC_DEMO,0.3571,low,137,0,0.8341,0.8142,52,34,True,4,False,0.609,12,7,True,False,0.4524,13,19,0.0447,0.4554
105,"State Highway 105 (Mysuru, Karnataka)",State Highway,Karnataka,Mysuru,13.931686,75.489453,200.81,1626,2021-01-24,2024-06-15,Notification u/s 11,In Progress,SYNTHETIC_DEMO,0.3548,low,503,208,0.1964,0.1613,151,0,False,0,False,0.6577,0,3,True,True,0.7523,13,36,0,0.1509
106,"Industrial Corridor 106 (Surat, Gujarat)",Industrial Corridor,Gujarat,Surat,23.018156,71.181646,177.22,3760,2022-07-24,2027-02-21,Objection Hearing,Completed,SYNTHETIC_DEMO,0.3842,low,0,0,0.3377,0.2757,158,0,False,0,False,0.5035,86,4,True,False,0.5902,22,20,0,0.1589
107,"Railway 107 (Coimbatore, Tamil Nadu)",Railway Line,Tamil Nadu,Coimbatore,10.300315,76.620403,279.68,4021,2020-06-11,2023-08-05,Compensation Disbursement,In Progress,SYNTHETIC_DEMO,0.6032,medium,463,210,0.5622,0.5007,35,0,False,0,False,0.5123,107,7,True,True,0.8655,6,31,0,0.1683
108,"Urban Infra 108 (Medak, Telangana)",Urban Infrastructure,Telangana,Medak,17.162522,80.779513,149.58,2261,2021-09-26,2025-06-22,Rehabilitation,Completed,SYNTHETIC_DEMO,0.3554,low,0,0,0.8085,0.703,57,0,False,0,False,0.7226,21,7,True,True,0.7725,68,35,0.5108,0.3864
109,"Industrial Corridor 109 (Namakkal, Tamil Nadu)",Industrial Corridor,Tamil Nadu,Namakkal,10.427516,76.983439,227.62,2865,2021-10-24,2025-03-12,Completed,Planning,SYNTHETIC_DEMO,0.128,low,134,0,1,0.8961,112,0,False,0,False,0.9192,15,3,True,True,0.7376,49,55,0.7108,0.4164
110,"Rail Line 110 (Rajkot, Gujarat)",Railway Line,Gujarat,Rajkot,22.565335,71.459825,476.44,4224,2023-10-24,2028-02-27,Objection Hearing,In Progress,SYNTHETIC_DEMO,0.5916,medium,581,228,0.3087,0.3067,24,0,False,0,False,0.4814,96,6,True,False,0.9925,88,8,0,0.4507
111,"Railway 111 (Gandhinagar, Gujarat)",Railway Line,Gujarat,Gandhinagar,23.043055,71.181482,204.41,2289,2023-07-02,2027-09-26,Compensation Disbursement,In Progress,SYNTHETIC_DEMO,0.6784,medium,677,320,0.5787,0.477,94,0,False,0,False,0.6728,62,5,True,True,0.8689,16,46,0,0.5861
112,"City Infra 112 (Jaipur, Rajasthan)",Urban Infrastructure,Rajasthan,Jaipur,28.773934,73.952435,395.21,406,2021-01-19,2023-11-11,Possession Handover,In Progress,SYNTHETIC_DEMO,0.5904,medium,320,129,0.7176,0.6267,25,0,False,0,False,0.7757,107,7,True,True,0.9294,25,28,0.4565,0.5959
113,"Railway 113 (Medchal-Malkajgiri, Telangana)",Railway Line,Telangana,Medchal-Malkajgiri,19.00638,77.42003,201.19,2512,2021-12-31,2025-01-07,Award Declaration,In Progress,SYNTHETIC_DEMO,0.5123,medium,286,0,0.4165,0.3746,179,0,False,0,False,0.8531,54,10,True,True,0.0952,32,30,0,0.139
114,"Rural Road 114 (Hapur, Uttar Pradesh)",Rural Road,Uttar Pradesh,Hapur,29.311209,84.411162,160.11,2461,2020-09-17,2024-01-29,SIA Initiated,Planning,SYNTHETIC_DEMO,0.2587,low,165,0,0,0,97,50,True,2,False,0.7849,86,2,False,True,0.5633,83,41,0,0.1821
115,"Metro Rail 115 (Sikar, Rajasthan)",Metro Rail,Rajasthan,Sikar,26.096687,71.455202,481.81,2586,2023-08-25,2025-03-17,Notification u/s 11,Completed,SYNTHETIC_DEMO,0.3848,low,0,0,0.178,0.1312,35,0,False,0,False,0.5487,82,1,True,True,0.601,82,18,0,0.4895
116,"E-way 116 (Chikkaballapura, Karnataka)",Expressway,Karnataka,Chikkaballapura,12.660263,75.76288,60.81,4102,2023-06-24,2028-02-06,Objection Hearing,Cancelled,SYNTHETIC_DEMO,0.5321,medium,85,0,0.4318,0.405,152,0,False,0,False,0.4426,113,0,True,False,0.9339,21,24,0,0.5304
117,"City Infra 117 (Sangareddy, Telangana)",Urban Infrastructure,Telangana,Sangareddy,18.581468,77.075102,255.77,4114,2021-03-11,2022-07-27,Notification u/s 11,Completed,SYNTHETIC_DEMO,0.4863,medium,0,0,0.1528,0.1168,106,0,False,0,False,0.6541,51,1,True,True,0.5377,24,17,0,0.1418
118,"Metro 118 (Nashik, Maharashtra)",Metro Rail,Maharashtra,Nashik,19.311842,78.605793,33.66,716,2022-07-21,2027-03-12,Notification u/s 11,Cancelled,SYNTHETIC_DEMO,0.298,low,727,436,0.2786,0.221,29,0,False,0,False,0.672,77,0,True,True,0.7417,27,7,0,0.1063
119,"National Highway 119 (Bhavnagar, Gujarat)",National Highway,Gujarat,Bhavnagar,22.353524,73.089416,367.8,977,2022-06-08,2024-11-19,Notification u/s 11,Completed,SYNTHETIC_DEMO,0.4859,medium,0,0,0.1834,0.1354,7,0,False,0,False,0.601,54,4,True,True,0.2629,78,40,0,0.1385
120,"Industrial Corridor 120 (West Godavari, Andhra Pradesh)",Industrial Corridor,Andhra Pradesh,West Godavari,13.66817,77.75848,26.8,110,2020-08-11,2022-03-09,SIA Initiated,Completed,SYNTHETIC_DEMO,0.3078,low,0,0,0.0789,0.0711,62,3,True,4,False,0.6184,117,2,False,True,0.9603,9,35,0,0.5016
121,"Industrial Corridor 121 (Medchal-Malkajgiri, Telangana)",Industrial Corridor,Telangana,Medchal-Malkajgiri,16.779741,80.716986,115.48,4235,2023-01-18,2027-04-02,Objection Hearing,Completed,SYNTHETIC_DEMO,0.6248,medium,0,0,0.3496,0.2973,11,0,False,0,False,0.9724,8,7,True,False,0.7735,44,20,0,0.1432
122,"Industrial Corridor 122 (Visakhapatnam, Andhra Pradesh)",Industrial Corridor,Andhra Pradesh,Visakhapatnam,14.627365,81.48174,367.57,4487,2022-02-26,2025-10-03,Objection Hearing,On Hold,SYNTHETIC_DEMO,0.5191,medium,407,165,0.3933,0.3336,38,0,False,0,False,0.4038,52,0,True,True,0.3464,6,60,0,0.2675
123,"E-way 123 (Siddipet, Telangana)",Expressway,Telangana,Siddipet,16.45267,79.21413,351.92,3061,2023-02-10,2024-06-11,SIA Approved,In Progress,SYNTHETIC_DEMO,0.2589,low,175,0,0.1673,0.1218,21,0,False,0,False,0.7485,64,2,True,True,0.3944,80,36,0,0.1311
124,"Expressway 124 (Gandhinagar, Gujarat)",Expressway,Gujarat,Gandhinagar,21.768287,73.407349,391.07,4799,2022-02-13,2024-12-12,Award Declaration,On Hold,SYNTHETIC_DEMO,0.5278,medium,355,148,0.4906,0.3778,39,0,False,0,False,0.4634,57,7,True,True,0.1207,50,49,0,0.2038
125,"Expressway 125 (Salem, Tamil Nadu)",Expressway,Tamil Nadu,Salem,11.773302,79.71874,357.02,2924,2020-01-01,2024-11-27,SIA Approved,Planning,SYNTHETIC_DEMO,0.1473,low,647,366,0.0331,0.0314,131,0,False,0,False,0.4294,38,4,True,False,0.1739,56,54,0,0.3261
126,"Rural Road 126 (Meerut, Uttar Pradesh)",Rural Road,Uttar Pradesh,Meerut,24.40085,82.8572,293.25,2130,2021-04-18,2023-07-17,SIA Approved,In Progress,SYNTHETIC_DEMO,0.1364,low,163,0,0.0646,0.053,5,0,False,0,False,0.9983,25,10,True,True,0.1288,47,7,0,0.1213
127,"Railway 127 (Visakhapatnam, Andhra Pradesh)",Railway Line,Andhra Pradesh,Visakhapatnam,15.179106,79.913312,22.15,2023,2020-01-29,2023-01-22,Possession Handover,Completed,SYNTHETIC_DEMO,0.4488,medium,0,0,0.6929,0.524,165,0,False,0,False,0.5771,52,8,True,True,0.0877,54,8,0.4192,0.4213
128,"City Infra 128 (Baghpat, Uttar Pradesh)",Urban Infrastructure,Uttar Pradesh,Baghpat,26.334229,81.083884,94.01,2622,2023-09-18,2027-06-06,SIA Initiated,Completed,SYNTHETIC_DEMO,0.2846,low,0,0,0,0,152,0,False,0,False,0.5314,114,4,False,True,0.9915,72,22,0,0.4834
129,"SH 129 (Ghaziabad, Uttar Pradesh)",State Highway,Uttar Pradesh,Ghaziabad,29.305854,83.879446,92.17,4863,2023-07-06,2024-10-27,Objection Hearing,In Progress,SYNTHETIC_DEMO,0.43,medium,254,0,0.3901,0.3881,178,0,False,0,False,0.6153,75,0,True,False,0.3517,77,36,0,0.1711
130,"Urban Infra 130 (Bulandshahr, Uttar Pradesh)",Urban Infrastructure,Uttar Pradesh,Bulandshahr,24.586673,78.744675,404.19,2801,2023-04-29,2025-07-20,Award Declaration,In Progress,SYNTHETIC_DEMO,0.3971,low,50,0,0.5053,0.3538,45,0,False,0,False,0.9513,108,5,True,True,0.1477,23,49,0,0.1555
131,"Industrial Corridor 131 (Jaipur, Rajasthan)",Industrial Corridor,Rajasthan,Jaipur,25.112356,70.728065,355.06,4613,2021-03-24,2023-02-09,Possession Handover,Cancelled,SYNTHETIC_DEMO,0.3303,low,477,120,0.8084,0.7988,157,0,False,0,False,0.8722,28,10,True,True,0.1754,44,46,0.6885,0.1637
132,"Port Link 132 (Chikkaballapura, Karnataka)",Port Connectivity,Karnataka,Chikkaballapura,14.10836,78.144672,373.94,1959,2020-03-25,2024-08-28,Possession Handover,Cancelled,SYNTHETIC_DEMO,0.3097,low,256,0,0.7779,0.5688,81,0,False,0,False,0.5007,113,1,True,False,0.67,47,28,0.0114,0.2048
133,"Expressway 133 (Raigad, Maharashtra)",Expressway,Maharashtra,Raigad,18.348431,75.857226,415.26,4745,2023-07-05,2025-06-09,SIA Approved,Planning,SYNTHETIC_DEMO,0.1144,low,453,107,0.1236,0.1006,175,0,False,0,False,0.5353,57,1,True,False,0.0334,7,20,0,0.2306
134,"Industrial Corridor 134 (Thane, Maharashtra)",Industrial Corridor,Maharashtra,Thane,15.987516,80.034673,218.51,1361,2023-10-14,2025-04-21,Notification u/s 11,Completed,SYNTHETIC_DEMO,0.2483,low,0,0,0.2176,0.2166,155,0,False,0,False,0.9339,20,0,True,True,0.2056,29,26,0,0.4486
135,"E-way 135 (Karur, Tamil Nadu)",Expressway,Tamil Nadu,Karur,10.160962,78.473482,103.84,220,2020-05-05,2024-02-04,Award Declaration,In Progress,SYNTHETIC_DEMO,0.2788,low,187,0,0.4109,0.2881,43,41,True,3,False,0.9862,60,1,True,True,0.3975,67,57,0,0.4305
136,"Urban Infra 136 (Ahmednagar, Maharashtra)",Urban Infrastructure,Maharashtra,Ahmednagar,17.979394,73.992664,79.81,802,2021-12-10,2023-03-11,Possession Handover,In Progress,SYNTHETIC_DEMO,0.4113,medium,299,98,0.7379,0.5749,171,0,False,0,False,0.6063,69,6,True,False,0.5897,75,3,0.8408,0.5092
137,"Rural Road 137 (Medak, Telangana)",Rural Road,Telangana,Medak,17.079217,80.842729,64.54,3688,2020-04-11,2021-06-21,Objection Hearing,Completed,SYNTHETIC_DEMO,0.4397,medium,0,0,0.3754,0.3642,44,0,False,0,False,0.9694,21,3,True,False,0.1262,59,5,0,0.5941
138,"Rail Line 138 (Medchal-Malkajgiri, Telangana)",Railway Line,Telangana,Medchal-Malkajgiri,19.156696,77.301554,459.0,111,2023-01-15,2026-03-19,Award Declaration,On Hold,SYNTHETIC_DEMO,0.5232,medium,599,240,0.4795,0.3825,159,0,False,0,False,0.7525,100,6,True,True,0.1496,77,37,0,0.3913
139,"Port Connectivity 139 (Thane, Maharashtra)",Port Connectivity,Maharashtra,Thane,21.220883,79.523149,141.33,1188,2023-01-23,2025-07-16,SIA Approved,On Hold,SYNTHETIC_DEMO,0.3602,low,422,84,0.156,0.1359,155,0,False,0,False,0.8085,51,0,True,True,0.879,35,3,0,0.4729
140,"National Highway 140 (Erode, Tamil Nadu)",National Highway,Tamil Nadu,Erode,12.635656,79.862057,388.15,2638,2020-07-06,2025-05-08,Compensation Disbursement,On Hold,SYNTHETIC_DEMO,0.5433,medium,130,0,0.7195,0.5529,106,0,False,0,False,0.763,11,3,True,True,0.9134,57,47,0,0.3422
141,"Urban Infra 141 (Jaipur, Rajasthan)",Urban Infrastructure,Rajasthan,Jaipur,26.547567,70.720848,128.5,3749,2021-11-24,2025-11-01,Notification u/s 11,Planning,SYNTHETIC_DEMO,0.2933,low,612,420,0.1558,0.1181,92,0,False,0,False,0.8228,35,5,True,False,0.5051,86,59,0,0.1619
142,"Industrial Corridor 142 (Bengaluru Urban, Karnataka)",Industrial Corridor,Karnataka,Bengaluru Urban,15.361821,76.13562,146.11,3176,2022-03-13,2026-04-15,Rehabilitation,Cancelled,SYNTHETIC_DEMO,0.2838,low,388,196,0.8438,0.8028,41,0,False,0,False,0.9123,99,3,True,False,0.6474,31,17,0.6516,0.3566
143,"Rail Line 143 (Mandya, Karnataka)",Railway Line,Karnataka,Mandya,12.783195,76.737547,129.74,3833,2021-01-21,2023-10-08,Notification u/s 11,Cancelled,SYNTHETIC_DEMO,0.4403,medium,688,431,0.2051,0.1986,173,0,False,0,False,0.7124,79,6,True,True,0.0073,89,53,0,0.5197
144,"SH 144 (Erode, Tamil Nadu)",State Highway,Tamil Nadu,Erode,9.520658,77.463117,79.22,1978,2023-06-27,2026-01-14,Rehabilitation,Planning,SYNTHETIC_DEMO,0.2509,low,297,103,0.9062,0.8932,153,0,False,0,False,0.6425,40,10,True,True,0.0255,68,18,0.2594,0.3093
145,"NH 145 (Siddipet, Telangana)",National Highway,Telangana,Siddipet,16.389453,79.405858,150.42,3866,2021-09-09,2025-05-10,Objection Hearing,On Hold,SYNTHETIC_DEMO,0.568,medium,717,505,0.3467,0.2739,66,0,False,0,False,0.8351,71,2,True,False,0.8996,88,5,0,0.2111
146,"Expressway 146 (Baghpat, Uttar Pradesh)",Expressway,Uttar Pradesh,Baghpat,27.80621,80.478205,238.75,1603,2020-11-05,2022-07-04,Possession Handover,On Hold,SYNTHETIC_DEMO,0.4115,medium,511,203,0.6607,0.5883,30,0,False,0,False,0.9205,48,8,True,True,0.0541,24,8,0.9923,0.2713
147,"Industrial Corridor 147 (Vizianagaram, Andhra Pradesh)",Industrial Corridor,Andhra Pradesh,Vizianagaram,16.917229,77.914594,290.26,1307,2022-02-26,2026-09-17,Notification u/s 11,Planning,SYNTHETIC_DEMO,0.3463,low,89,0,0.1509,0.118,22,0,False,0,False,0.4776,55,10,True,True,0.429,66,24,0,0.1023
148,"Ind Corridor 148 (Baghpat, Uttar Pradesh)",Industrial Corridor,Uttar Pradesh,Baghpat,27.45172,77.134371,68.82,3152,2022-12-01,2023-12-09,SIA Initiated,On Hold,SYNTHETIC_DEMO,0.2771,low,671,363,0.0467,0.0359,150,0,False,0,False,0.5837,8,0,False,True,0.2908,71,38,0,0.3621
149,"Railway 149 (Siddipet, Telangana)",Railway Line,Telangana,Siddipet,16.253704,81.26638,368.37,4840,2020-10-20,2024-01-24,Compensation Disbursement,Completed,SYNTHETIC_DEMO,0.5578,medium,0,0,0.5288,0.4058,129,0,False,0,False,0.5014,46,10,True,False,0.3752,86,16,0,0.4856
150,"NH 150 (Tumakuru, Karnataka)",National Highway,Karnataka,Tumakuru,12.405264,75.999414,154.05,837,2021-03-31,2022-12-09,SIA Approved,Planning,SYNTHETIC_DEMO,0.1145,low,590,241,0.0755,0.0688,133,0,False,0,False,0.562,77,2,True,True,0.8986,70,46,0,0.4088
151,"SH 151 (Coimbatore, Tamil Nadu)",State Highway,Tamil Nadu,Coimbatore,12.278774,79.741745,345.66,3947,2023-12-23,2026-02-08,Rehabilitation,In Progress,SYNTHETIC_DEMO,0.3327,low,396,132,0.9157,0.7221,60,1,True,1,False,0.803,116,1,True,False,0.669,24,60,0.0901,0.3559
152,"Metro 152 (Raigad, Maharashtra)",Metro Rail,Maharashtra,Raigad,15.825521,79.005427,52.02,385,2022-08-06,2023-10-25,Rehabilitation,On Hold,SYNTHETIC_DEMO,0.2292,low,327,145,0.847,0.7649,35,0,False,0,False,0.798,21,5,True,True,0.4377,84,17,0.8785,0.1465
153,"SH 153 (Alwar, Rajasthan)",State Highway,Rajasthan,Alwar,24.902832,72.971439,70.59,490,2021-10-01,2025-06-06,Possession Handover,Completed,SYNTHETIC_DEMO,0.5887,medium,0,0,0.81,0.7247,40,0,False,0,False,0.4622,116,9,True,True,0.5689,61,11,0.6113,0.4896
154,"Railway 154 (Chikkaballapura, Karnataka)",Railway Line,Karnataka,Chikkaballapura,13.439495,74.206875,489.06,2781,2022-01-25,2024-07-13,Rehabilitation,Completed,SYNTHETIC_DEMO,0.1839,low,0,0,0.906,0.6376,132,0,False,0,False,0.7139,89,9,True,True,0.6617,36,30,0.3457,0.4381
155,"City Infra 155 (Medchal-Malkajgiri, Telangana)",Urban Infrastructure,Telangana,Medchal-Malkajgiri,16.127709,80.819805,29.92,1834,2020-06-25,2024-04-05,SIA Initiated,Planning,SYNTHETIC_DEMO,0.243,low,199,0,0,0,164,0,False,0,False,0.6272,104,3,False,True,0.4442,78,28,0,0.144
156,"Ind Corridor 156 (East Godavari, Andhra Pradesh)",Industrial Corridor,Andhra Pradesh,East Godavari,12.624384,79.727517,445.6,4616,2020-11-24,2022-02-05,SIA Approved,Completed,SYNTHETIC_DEMO,0.3236,low,0,0,0.1364,0.0955,52,42,True,4,False,0.9702,46,0,True,False,0.8443,47,35,0,0.4837
157,"Industrial Corridor 157 (Krishna, Andhra Pradesh)",Industrial Corridor,Andhra Pradesh,Krishna,17.112372,76.517576,27.66,1354,2021-05-08,2024-05-04,Rehabilitation,Planning,SYNTHETIC_DEMO,0.1792,low,678,372,0.9679,0.7623,35,0,False,0,False,0.8931,95,6,True,True,0.6109,29,7,0.9302,0.2964
158,"Industrial Corridor 158 (Vizianagaram, Andhra Pradesh)",Industrial Corridor,Andhra Pradesh,Vizianagaram,16.932683,81.877134,482.11,45,2022-05-08,2024-01-15,SIA Approved,Completed,SYNTHETIC_DEMO,0.114,low,0,0,0.1794,0.1499,135,0,False,0,False,0.8417,70,6,True,False,0.4829,70,49,0,0.5606
159,"Port Connectivity 159 (Bhavnagar, Gujarat)",Port Connectivity,Gujarat,Bhavnagar,22.958848,71.940045,140.43,2818,2020-12-01,2023-09-21,Notification u/s 11,In Progress,SYNTHETIC_DEMO,0.2311,low,546,291,0.3263,0.2694,115,0,False,0,False,0.8829,17,6,True,True,0.8864,70,19,0,0.5215
160,"City Infra 160 (Sikar, Rajasthan)",Urban Infrastructure,Rajasthan,Sikar,28.000692,75.679502,356.62,2895,2020-11-17,2025-08-25,Objection Hearing,In Progress,SYNTHETIC_DEMO,0.4129,medium,165,0,0.4713,0.4218,122,0,False,0,False,0.7497,120,10,True,False,0.6742,73,18,0,0.5387
161,"City Infra 161 (Rangareddy, Telangana)",Urban Infrastructure,Telangana,Rangareddy,15.71226,77.254721,105.98,4443,2020-04-13,2022-10-11,SIA Approved,Planning,SYNTHETIC_DEMO,0.2143,low,194,6,0.2217,0.2006,91,29,True,1,True,0.7697,86,8,True,False,0.7424,76,24,0,0.2188
162,"National Highway 162 (Karur, Tamil Nadu)",National Highway,Tamil Nadu,Karur,12.334613,79.083169,415.84,3022,2022-07-10,2026-08-13,Possession Handover,Completed,SYNTHETIC_DEMO,0.425,medium,0,0,0.6608,0.6099,150,0,False,0,False,0.728,77,3,True,False,0.9643,42,28,0.1774,0.4413
163,"Urban Infra 163 (Gandhinagar, Gujarat)",Urban Infrastructure,Gujarat,Gandhinagar,21.256005,69.717557,24.77,2652,2020-11-30,2022-10-25,SIA Approved,Completed,SYNTHETIC_DEMO,0.1122,low,0,0,0.1418,0.1101,152,0,False,0,False,0.4305,119,10,True,True,0.6619,67,50,0,0.3863
164,"Industrial Corridor 164 (Jaipur, Rajasthan)",Industrial Corridor,Rajasthan,Jaipur,26.644244,76.576324,333.35,2722,2023-08-14,2025-07-05,Completed,In Progress,SYNTHETIC_DEMO,0.1871,low,455,183,1,0.821,75,0,False,0,False,0.5311,96,9,True,True,0.9966,88,0,0.1147,0.273
165,"Port Link 165 (Baghpat, Uttar Pradesh)",Port Connectivity,Uttar Pradesh,Baghpat,26.086091,83.869493,259.58,4177,2023-06-09,2025-01-26,Objection Hearing,Planning,SYNTHETIC_DEMO,0.5548,medium,425,131,0.3263,0.2993,124,3,True,3,False,0.939,24,5,True,True,0.9482,26,49,0,0.369
